,Player,team_name,sub_position,Nation,Age,minutes_played,competition,matches_played,Starts,Rank_Defensive Duels SEPI,Rank_Aerial SEPI,Rank_Passing SEPI,Rank_p90_pmin_errors,Rank_p90_pmin_ball_recoveries,Rank_p90_pmin_Gls,Rank_p90_pmin_Ast,Rank_p90_pmin_shot_creating_actions_p90,Rank_G-xG,Rank_p90_pmin_interceptions,Rank_p90_pmin_progressive_passes,Rank_p90_pmin_dispossessed,Rank_p90_pmin_errors,Rank_p90_pmin_key_passes,Rank_Dribble SEPI,Position Specific Index,Team Final League Ranking
59,Daniel Amartey,Leicester City,Centre-Back,gh GHA,25,722,eng Premier League,12,8,0.604481793,0.317086835,0.61232493,0.228011204,0.94789916,0.9232493,0.321848739,0.84929972,0.83632287,0.593837535,0.478991597,0.837535014,0.228011204,0.035854342,0.107002801,0.450756303,5
60,Daniel Amartey,Leicester City,Centre-Back,gh GHA,23,641,eng Premier League,9,7,0.929411765,0.512605042,0.515966387,0.931932773,0.979831933,0.236134454,0.321848739,0.987114846,0.420683857,0.956862745,0.851820728,0.932212885,0.931932773,0.86442577,0.227170868,0.401176471,9
61,Bruno Amione,Sampdoria,Centre-Back,ar ARG,20,2086,it Serie A,26,25,0.8767507,0.673389356,0.258263305,0.582072829,0.468347339,0.596638655,0.768067227,0.261064426,0.689742152,0.250980392,0.272268908,0.125490196,0.582072829,0.269467787,0.072268908,0.338935574,20
62,Ethan Ampadu,Spezia,Centre-Back,wls WAL,21,2639,it Serie A,31,31,0.458263305,0.517647059,0.389915966,0.228011204,0.892717087,0.236134454,0.708403361,0.661064426,0.101457399,0.373669468,0.78767507,0.656582633,0.228011204,0.875630252,0.691316527,0.406106443,18
63,Ethan Ampadu,Venezia,Centre-Back,wls WAL,20,2282,it Serie A,29,26,0.89859944,0.776470588,0.124369748,0.228011204,0.769747899,0.236134454,0.961904762,0.826330532,0.420683857,0.862184874,0.808963585,0.852661064,0.228011204,0.930532213,0.863865546,0.468235294,20
64,Ethan Ampadu,Sheffield Utd,Centre-Back,wls WAL,19,2089,eng Premier League,25,23,0.844257703,0.662745098,0.296918768,0.915406162,0.36302521,0.236134454,0.321848739,0.553501401,0.420683857,0.895238095,0.79719888,0.616806723,0.915406162,0.890756303,0.919887955,0.250308123,20
65,Joachim Andersen,Crystal Palace,Centre-Back,dk DEN,26,2782,eng Premier League,32,32,0.191596639,0.896358543,0.367507003,0.228011204,0.672268908,0.513165266,0.321848739,0.344537815,0.17853139,0.082352941,0.594957983,0.283473389,0.228011204,0.83977591,0.290196078,0.379943978,11
66,Joachim Andersen,Crystal Palace,Centre-Back,dk DEN,25,2916,eng Premier League,34,32,0.755182073,0.258823529,0.547338936,0.822969188,0.289635854,0.236134454,0.925210084,0.456022409,0.218329596,0.296358543,0.508123249,0.678991597,0.822969188,0.937254902,0.597759104,0.205602241,12
67,Joachim Andersen,Fulham,Centre-Back,dk DEN,24,2730,eng Premier League,31,30,0.324369748,0.898039216,0.468907563,0.51092437,0.629691877,0.517647059,0.694677871,0.478991597,0.496636771,0.561904762,0.522128852,0.286834734,0.51092437,0.646778711,0.725490196,0.362016807,18
68,Joachim Andersen,Lyon,Centre-Back,dk DEN,23,1531,fr Ligue 1,18,17,0.184313725,0.877310924,0.918207283,0.894117647,0.37254902,0.677871148,0.321848739,0.738935574,0.689742152,0.028011204,0.840896359,0.35070028,0.894117647,0.58487395,0.643137255,0.291652661,7
69,Joachim Andersen,Sampdoria,Centre-Back,dk DEN,22,2880,it Serie A,32,32,0.684033613,0.35070028,0.835294118,0.48767507,0.383753501,0.236134454,0.675630252,0.346218487,0.124439462,0.261064426,0.858263305,0.55210084,0.48767507,0.620448179,0.905322129,0.353221289,9
70,Waldemar Anton,Stuttgart,Centre-Back,de GER,26,2934,de Bundesliga,34,34,0.304201681,0.222969188,0.36302521,0.683473389,0.911484594,0.501960784,0.834173669,0.549019608,0.261491031,0.315966387,0.765826331,0.917086835,0.683473389,0.743977591,0.227170868,0.223641457,16
71,Waldemar Anton,Stuttgart,Centre-Back,de GER,25,2595,de Bundesliga,29,29,0.65210084,0.308123249,0.643137255,0.523809524,0.928291317,0.75070028,0.714285714,0.643697479,0.575952915,0.2767507,0.678431373,0.884593838,0.523809524,0.603361345,0.894117647,0.401568627,15
72,Waldemar Anton,Stuttgart,Centre-Back,de GER,24,2711,de Bundesliga,31,30,0.514845938,0.421288515,0.825210084,0.228011204,0.953501401,0.236134454,0.699159664,0.503641457,0.067544843,0.654341737,0.697478992,0.976470588,0.228011204,0.725490196,0.814005602,0.497366947,9
73,Waldemar Anton,Hannover 96,Centre-Back,de GER,22,3060,de Bundesliga,34,34,0.683473389,0.273389356,0.494677871,0.809803922,0.79719888,0.489915966,0.321848739,0.280672269,0.17853139,0.868347339,0.425770308,0.880672269,0.809803922,0.327731092,0.724929972,0.287787115,17
74,Ronald Araújo,Barcelona,Centre-Back,uy URU,23,1800,es La Liga,22,21,0.75070028,0.63697479,0.834733894,0.626890756,0.291316527,0.236134454,0.941176471,0.650420168,0.012612108,0.029691877,0.719327731,0.758823529,0.626890756,0.730252101,0.810364146,0.377366947,1
75,Ronald Araújo,Barcelona,Centre-Back,uy URU,22,2272,es La Liga,30,25,0.357983193,0.829691877,0.880672269,0.56022409,0.514285714,0.963585434,0.321848739,0.285154062,0.989910314,0.153501401,0.643697479,0.654341737,0.56022409,0.756022409,0.604481793,0.404481793,2
76,Ronald Araújo,Barcelona,Centre-Back,uy URU,21,1510,es La Liga,24,16,0.133893557,0.892436975,0.921568627,0.67254902,0.771428571,0.914285714,0.82605042,0.468907563,0.718049327,0.342857143,0.348459384,0.355182073,0.67254902,0.443697479,0.921008403,0.409355742,3
77,Arthur,Fiorentina,Centre-Back,br BRA,24,1432,it Serie A,28,15,0.020168067,0.157422969,0.008963585,0.228011204,0.003361345,0.999439776,0.842016807,0.960784314,0.689742152,0.001120448,0.03697479,0.996638655,0.228011204,0.973669468,0.068907563,-0.007619048,8
78,Arthur,Fiorentina,Centre-Back,br BRA,23,749,it Serie A,14,8,0.255462185,0.002240896,0.034733894,0.228011204,0.001120448,0.989355742,0.99719888,0.99047619,0.010089686,0.001680672,0.025210084,0.98487395,0.228011204,0.969747899,0.912044818,0.013109244,7
79,Cédric Avinel,Ajaccio,Centre-Back,gp GLP,35,1794,fr Ligue 1,24,19,0.180952381,0.747338936,0.388235294,0.628571429,0.283473389,0.640896359,0.321848739,0.013445378,0.646020179,0.075630252,0.072268908,0.046498599,0.628571429,0.035854342,0.156302521,0.194285714,18
80,Kaan Ayhan,Sassuolo,Centre-Back,tr TUR,27,545,it Serie A,10,5,0.020728291,0.014565826,0.679551821,0.96022409,0.265546218,0.236134454,0.321848739,0.957422969,0.646020179,0.099439776,0.322128852,0.488515406,0.96022409,0.035854342,0.028291317,0.004033613,13
81,Kaan Ayhan,Sassuolo,Centre-Back,tr TUR,26,1354,it Serie A,23,14,0.464705882,0.029691877,0.872268908,0.228011204,0.23977591,0.734453782,0.321848739,0.519327731,0.863789238,0.126610644,0.820168067,0.046498599,0.228011204,0.284033613,0.37535014,0.275686275,11
82,Kaan Ayhan,Sassuolo,Centre-Back,tr TUR,25,796,it Serie A,19,7,0.555742297,0.006722689,0.903081232,0.228011204,0.143977591,0.236134454,0.321848739,0.708683473,0.30661435,0.782072829,0.839215686,0.805042017,0.228011204,0.035854342,0.718767507,0.276302521,8
83,Kaan Ayhan,Düsseldorf,Centre-Back,tr TUR,24,2731,de Bundesliga,31,31,0.629691877,0.056022409,0.546778711,0.510364146,0.546778711,0.729411765,0.938935574,0.709803922,0.496636771,0.583193277,0.909803922,0.396078431,0.510364146,0.931652661,0.840336134,0.253781513,17
84,Kaan Ayhan,Düsseldorf,Centre-Back,tr TUR,23,2449,de Bundesliga,28,28,0.33697479,0.431372549,0.717086835,0.879551821,0.645938375,0.952941176,0.729971989,0.494117647,0.966647982,0.915406162,0.628011204,0.539495798,0.879551821,0.549579832,0.756302521,0.250364146,10
85,Benoît Badiashile,Chelsea,Centre-Back,fr FRA,21,905,eng Premier League,11,10,0.365266106,0.937254902,0.928291317,0.841456583,0.952941176,0.861064426,0.321848739,0.940616246,0.496636771,0.672268908,0.926610644,0.756302521,0.841456583,0.724369748,0.118207283,0.468459384,12
86,Benoît Badiashile,Monaco,Centre-Back,fr FRA,21,839,fr Ligue 1,11,9,0.868347339,0.859943978,0.621848739,0.870588235,0.9232493,0.983193277,0.321848739,0.658823529,0.94955157,0.79047619,0.77254902,0.046498599,0.870588235,0.215686275,0.11372549,0.480560224,6
87,Benoît Badiashile,Monaco,Centre-Back,fr FRA,20,1838,fr Ligue 1,24,21,0.226890756,0.933893557,0.826890756,0.621568627,0.938935574,0.633893557,0.321848739,0.532212885,0.261491031,0.494677871,0.916526611,0.673389356,0.621568627,0.326890756,0.185154062,0.461008403,3
88,Benoît Badiashile,Monaco,Centre-Back,fr FRA,19,2870,fr Ligue 1,35,32,0.542296919,0.943417367,0.822408964,0.909803922,0.732773109,0.704761905,0.678431373,0.453781513,0.420683857,0.78767507,0.911484594,0.180112045,0.909803922,0.466386555,0.287955182,0.426218487,3
89,Benoît Badiashile,Monaco,Centre-Back,fr FRA,18,1411,fr Ligue 1,16,16,0.619047619,0.80280112,0.647619048,0.700840336,0.942857143,0.236134454,0.321848739,0.543417367,0.218329596,0.742857143,0.9232493,0.557983193,0.700840336,0.264985994,0.669467787,0.462296919,9
90,Benoît Badiashile,Monaco,Centre-Back,fr FRA,17,1762,fr Ligue 1,20,20,0.807282913,0.71372549,0.820728291,0.850980392,0.328851541,0.644257703,0.321848739,0.547338936,0.718049327,0.246498599,0.84929972,0.691876751,0.850980392,0.201120448,0.334453782,0.363921569,17
